dataset	assembly	chromosome	n_informative	exact_position_match	chr_pos_concordance	allele_compatible_n	allele_compatible_concordance
AFR	GRCh37	2	5812	5812	1.0	5812	1.0
AFR	GRCh37	3	5858	5858	1.0	5858	1.0
AFR	GRCh37	4	5809	5809	1.0	5809	1.0
AFR	GRCh37	5	5890	5890	1.0	5890	1.0
AFR	GRCh37	6	5851	5851	1.0	5851	1.0
AFR	GRCh37	7	5715	5715	1.0	5715	1.0
AFR	GRCh37	8	5675	5675	1.0	5675	1.0
AFR	GRCh37	9	5763	5763	1.0	5763	1.0
AFR	GRCh37	10	5764	5764	1.0	5764	1.0
AFR	GRCh37	11	5771	5771	1.0	5771	1.0
AFR	GRCh37	12	5846	5846	1.0	5846	1.0
AFR	GRCh37	13	5879	5879	1.0	5879	1.0
AFR	GRCh37	14	5808	5808	1.0	5808	1.0
AFR	GRCh37	15	5789	5789	1.0	5789	1.0
AFR	GRCh37	16	5575	5575	1.0	5575	1.0
AFR	GRCh37	17	5790	5790	1.0	5790	1.0
AFR	GRCh37	18	5747	5747	1.0	5747	1.0
AFR	GRCh37	19	5624	5624	1.0	5624	1.0
AFR	GRCh37	20	5841	5841	1.0	5841	1.0
AFR	GRCh37	21	5807	5807	1.0	5807	1.0
AFR	GRCh37	22	5763	5763	1.0	5763	1.0
AFR	GRCh38	1	5798	0	0.0	5798	1.0
AFR	GRCh38	2	5812	28	0.004817618719889883	5812	1.0
AFR	GRCh38	3	5858	0	0.0	5858	1.0
AFR	GRCh38	4	5809	0	0.0	5809	1.0
AFR	GRCh38	5	5890	0	0.0	5890	1.0
AFR	GRCh38	6	5851	27	0.004614595795590497	5851	1.0
AFR	GRCh38	7	5715	15	0.0026246719160104987	5715	1.0
AFR	GRCh38	8	5675	0	0.0	5675	1.0
AFR	GRCh38	9	5763	843	0.14627798021863614	5763	1.0
AFR	GRCh38	10	5764	0	0.0	5764	1.0
AFR	GRCh38	11	5771	42	0.007277768151100329	5771	1.0
AFR	GRCh38	12	5846	0	0.0	5846	1.0
AFR	GRCh38	13	5879	0	0.0	5879	1.0
AFR	GRCh38	14	5808	0	0.0	5808	1.0
AFR	GRCh38	15	5789	0	0.0	5789	1.0
AFR	GRCh38	16	5575	0	0.0	5575	1.0
AFR	GRCh38	17	5790	0	0.0	5790	1.0
AFR	GRCh38	18	5747	178	0.030972681398990776	5747	1.0
AFR	GRCh38	19	5624	106	0.018847795163584636	5624	1.0
AFR	GRCh38	20	5841	0	0.0	5841	1.0
AFR	GRCh38	21	5807	0	0.0	5807	1.0
AFR	GRCh38	22	5763	0	0.0	5763	1.0
