chromosome	panel_rows	annotation_rows	expected_score_rows	panel_duplicate_snps	annotation_duplicate_snps	missing_snps	chr_mismatch	bp_mismatch	snp_id_mismatch	order_mismatch	panel_order_sha256	annotation_order_sha256	expected_score_order_sha256	score_pop1_order_sha256	score_pop2_order_sha256	score_te_order_sha256	status
11	310679	310679	290949	0	0	0	0	0	0	0	dc95ddada027e7a7be9106ff9885e75297949f5a299d23960030b9e6f7e2b9a8	dc95ddada027e7a7be9106ff9885e75297949f5a299d23960030b9e6f7e2b9a8	a72ae5a70b1c42076e074904115e019ae88e57bafbf53d9d07ebeee725815cc1	a72ae5a70b1c42076e074904115e019ae88e57bafbf53d9d07ebeee725815cc1	a72ae5a70b1c42076e074904115e019ae88e57bafbf53d9d07ebeee725815cc1	a72ae5a70b1c42076e074904115e019ae88e57bafbf53d9d07ebeee725815cc1	PASS
12	302052	302052	280784	0	0	0	0	0	0	0	7aaa3100bfb5f2528c41072339073bd41767b82b9a966da07e076337ee76182f	7aaa3100bfb5f2528c41072339073bd41767b82b9a966da07e076337ee76182f	3c0a5136f0ff21aba454b21b03e3b09bea10c975f4ffb15f35655ff79f2d9fd6	3c0a5136f0ff21aba454b21b03e3b09bea10c975f4ffb15f35655ff79f2d9fd6	3c0a5136f0ff21aba454b21b03e3b09bea10c975f4ffb15f35655ff79f2d9fd6	3c0a5136f0ff21aba454b21b03e3b09bea10c975f4ffb15f35655ff79f2d9fd6	PASS
13	232772	232772	217132	0	0	0	0	0	0	0	5265e2b23ca6db3c45c878ca29ea70ee81309f5062337fdfad33e469f90094c7	5265e2b23ca6db3c45c878ca29ea70ee81309f5062337fdfad33e469f90094c7	bc4897d546a14dc3dbf19e83659da61fbe7b0e0b9f749edf58a05699a0ed982d	bc4897d546a14dc3dbf19e83659da61fbe7b0e0b9f749edf58a05699a0ed982d	bc4897d546a14dc3dbf19e83659da61fbe7b0e0b9f749edf58a05699a0ed982d	bc4897d546a14dc3dbf19e83659da61fbe7b0e0b9f749edf58a05699a0ed982d	PASS
14	203964	203964	188600	0	0	0	0	0	0	0	3083cd42439c958b724aa2f6cc530ad0c4bb5c011cee6b51df3071e165b39164	3083cd42439c958b724aa2f6cc530ad0c4bb5c011cee6b51df3071e165b39164	851f3defe3b7467397925870e9a3561e9b69e136222e08d7446b9bb4118691fd	851f3defe3b7467397925870e9a3561e9b69e136222e08d7446b9bb4118691fd	851f3defe3b7467397925870e9a3561e9b69e136222e08d7446b9bb4118691fd	851f3defe3b7467397925870e9a3561e9b69e136222e08d7446b9bb4118691fd	PASS
15	182536	182536	169150	0	0	0	0	0	0	0	1e59326efa89cfab4327f4d036372ea96b054a1197de34fa3e6b285b1a28340d	1e59326efa89cfab4327f4d036372ea96b054a1197de34fa3e6b285b1a28340d	e35f40f1b85a0585cf8fd9c2d32125a92f2a557b6343de5f17eba08226d05268	e35f40f1b85a0585cf8fd9c2d32125a92f2a557b6343de5f17eba08226d05268	e35f40f1b85a0585cf8fd9c2d32125a92f2a557b6343de5f17eba08226d05268	e35f40f1b85a0585cf8fd9c2d32125a92f2a557b6343de5f17eba08226d05268	PASS
16	193246	193246	180704	0	0	0	0	0	0	0	92da57768c44bc538794aec8828dcfcc89b966de89cd3c494b838e020126593d	92da57768c44bc538794aec8828dcfcc89b966de89cd3c494b838e020126593d	181af425b0bfae1e9599e86ff66bde0087052fcf33a658e6f2f800c7b80d9f0a	181af425b0bfae1e9599e86ff66bde0087052fcf33a658e6f2f800c7b80d9f0a	181af425b0bfae1e9599e86ff66bde0087052fcf33a658e6f2f800c7b80d9f0a	181af425b0bfae1e9599e86ff66bde0087052fcf33a658e6f2f800c7b80d9f0a	PASS
17	166148	166148	154964	0	0	0	0	0	0	0	0483cb1b100e3d73e642e324331697e7d54e9a34f793fd27b7cc5e7ebc7d9914	0483cb1b100e3d73e642e324331697e7d54e9a34f793fd27b7cc5e7ebc7d9914	405aaaabfc65595b005ef6944ee18aac97837d3c5dfab88c5f565a0692acdb74	405aaaabfc65595b005ef6944ee18aac97837d3c5dfab88c5f565a0692acdb74	405aaaabfc65595b005ef6944ee18aac97837d3c5dfab88c5f565a0692acdb74	405aaaabfc65595b005ef6944ee18aac97837d3c5dfab88c5f565a0692acdb74	PASS
18	182779	182779	170480	0	0	0	0	0	0	0	4ba78d3970d9233496ea81cbf6ce0ae8b9ceb6749bd5b366928f78504737ece6	4ba78d3970d9233496ea81cbf6ce0ae8b9ceb6749bd5b366928f78504737ece6	264328495a57884c4c95ed22155b1c7615f8927d35b2ec69f0f280750cf4bce0	264328495a57884c4c95ed22155b1c7615f8927d35b2ec69f0f280750cf4bce0	264328495a57884c4c95ed22155b1c7615f8927d35b2ec69f0f280750cf4bce0	264328495a57884c4c95ed22155b1c7615f8927d35b2ec69f0f280750cf4bce0	PASS
19	148658	148658	138383	0	0	0	0	0	0	0	e339690effc77ffdb1e1f88500fdf77232f9898f500dab486b3975cb21efa15a	e339690effc77ffdb1e1f88500fdf77232f9898f500dab486b3975cb21efa15a	72c1f4c5f1a6ae86a50d2a005528e4e0ef13f16f5319d1d83b100f6de0971582	72c1f4c5f1a6ae86a50d2a005528e4e0ef13f16f5319d1d83b100f6de0971582	72c1f4c5f1a6ae86a50d2a005528e4e0ef13f16f5319d1d83b100f6de0971582	72c1f4c5f1a6ae86a50d2a005528e4e0ef13f16f5319d1d83b100f6de0971582	PASS
20	135506	135506	126749	0	0	0	0	0	0	0	e2d7ee554302f8a1c87ed1e718c6751856961de7af6200b49d5115a9c77ee05f	e2d7ee554302f8a1c87ed1e718c6751856961de7af6200b49d5115a9c77ee05f	9fb05239a2a747fdd0b618689f9621d7d9b3b57c63bb379e75803465ff04e883	9fb05239a2a747fdd0b618689f9621d7d9b3b57c63bb379e75803465ff04e883	9fb05239a2a747fdd0b618689f9621d7d9b3b57c63bb379e75803465ff04e883	9fb05239a2a747fdd0b618689f9621d7d9b3b57c63bb379e75803465ff04e883	PASS
21	89744	89744	84285	0	0	0	0	0	0	0	539047712032d71c7f5c0b057b97f072e1811cea32807fad01b8992cbb4078f5	539047712032d71c7f5c0b057b97f072e1811cea32807fad01b8992cbb4078f5	3f95599cbf612326cb5159f462ff268c7d3f55657a99d87f1684011bde1e33e1	3f95599cbf612326cb5159f462ff268c7d3f55657a99d87f1684011bde1e33e1	3f95599cbf612326cb5159f462ff268c7d3f55657a99d87f1684011bde1e33e1	3f95599cbf612326cb5159f462ff268c7d3f55657a99d87f1684011bde1e33e1	PASS
22	88626	88626	82385	0	0	0	0	0	0	0	eed3877e5fa70c73c142b02006217e802aeb014007c5190f554b6b120a4fca49	eed3877e5fa70c73c142b02006217e802aeb014007c5190f554b6b120a4fca49	e997822e57475adcd25202d3df4fba0002690426dd91853d48a8c758ca7f255e	e997822e57475adcd25202d3df4fba0002690426dd91853d48a8c758ca7f255e	e997822e57475adcd25202d3df4fba0002690426dd91853d48a8c758ca7f255e	e997822e57475adcd25202d3df4fba0002690426dd91853d48a8c758ca7f255e	PASS
