chromosome	population_score	score_rows	expected_rows	annotation_columns	gzip_integrity	header_consistent	nan_count	inf_count	negative_count	negative_value_policy	max_abs	extreme_abs_gt_1e8	constant_columns	n_constant_columns	parse_error	status
8	pop1	319865	319865	97	True	True	0	0	2485340	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1605.4420166015625	0		0		PASS
8	pop2	319865	319865	97	True	True	0	0	1935703	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	2536.407470703125	0		0		PASS
8	te	319865	319865	97	True	True	0	0	7293214	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1468.964111328125	0		0		PASS
9	pop1	255990	255990	97	True	True	0	0	2031319	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1453.315185546875	0		0		PASS
9	pop2	255990	255990	97	True	True	0	0	1571519	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1668.6131591796875	0		0		PASS
9	te	255990	255990	97	True	True	0	0	5785710	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	982.2356567382812	0		0		PASS
10	pop1	299593	299593	97	True	True	0	0	2151014	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	6374.2138671875	0		0		PASS
10	pop2	299593	299593	97	True	True	0	0	1655283	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	5915.64404296875	0		0		PASS
10	te	299593	299593	97	True	True	0	0	6709513	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1219.172119140625	0		0		PASS
11	pop1	290949	290949	97	True	True	0	0	1931025	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	9500.7314453125	0		0		PASS
11	pop2	290949	290949	97	True	True	0	0	1563200	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	7933.24951171875	0		0		PASS
11	te	290949	290949	97	True	True	0	0	6214063	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	5838.48046875	0		0		PASS
12	pop1	280784	280784	97	True	True	0	0	1983752	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1636.6387939453125	0		0		PASS
12	pop2	280784	280784	97	True	True	0	0	1486872	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	7307.35302734375	0		0		PASS
12	te	280784	280784	97	True	True	0	0	6264700	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1691.155029296875	0		0		PASS
13	pop1	217132	217132	97	True	True	0	0	1913926	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1686.007568359375	0		0		PASS
13	pop2	217132	217132	97	True	True	0	0	1498975	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1584.5252685546875	0		0		PASS
13	te	217132	217132	97	True	True	0	0	5077269	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1359.97705078125	0		0		PASS
14	pop1	188600	188600	97	True	True	0	0	1501585	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	2743.557373046875	0		0		PASS
14	pop2	188600	188600	97	True	True	0	0	1171316	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1538.6483154296875	0		0		PASS
14	te	188600	188600	97	True	True	0	0	4343571	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1278.85888671875	0		0		PASS
15	pop1	169150	169150	97	True	True	0	0	1270739	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	4106.23779296875	0		0		PASS
15	pop2	169150	169150	97	True	True	0	0	994449	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	3652.13720703125	0		0		PASS
15	te	169150	169150	97	True	True	0	0	3828306	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	2513.570068359375	0		0		PASS
16	pop1	180704	180704	97	True	True	0	0	1388805	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	2085.93798828125	0		0		PASS
16	pop2	180704	180704	97	True	True	0	0	1091496	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1852.447509765625	0		0		PASS
16	te	180704	180704	97	True	True	0	0	4035563	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1371.8812255859375	0		0		PASS
17	pop1	154964	154964	97	True	True	0	0	1086255	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1627.615478515625	0		0		PASS
17	pop2	154964	154964	97	True	True	0	0	875414	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	2524.761962890625	0		0		PASS
17	te	154964	154964	97	True	True	0	0	3429251	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1369.0062255859375	0		0		PASS
18	pop1	170480	170480	97	True	True	0	0	1577177	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1044.9144287109375	0		0		PASS
18	pop2	170480	170480	97	True	True	0	0	1230340	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1341.8292236328125	0		0		PASS
18	te	170480	170480	97	True	True	0	0	4031648	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	794.6181030273438	0		0		PASS
19	pop1	138383	138383	97	True	True	0	0	822491	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1716.27001953125	0		0		PASS
19	pop2	138383	138383	97	True	True	0	0	603145	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1943.71240234375	0		0		PASS
19	te	138383	138383	97	True	True	0	0	2906206	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1441.79345703125	0		0		PASS
20	pop1	126749	126749	97	True	True	0	0	1029569	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1017.5545043945312	0		0		PASS
20	pop2	126749	126749	97	True	True	0	0	824564	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1162.6683349609375	0		0		PASS
20	te	126749	126749	97	True	True	0	0	2906418	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	630.6939697265625	0		0		PASS
21	pop1	84285	84285	97	True	True	0	0	734885	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1018.111328125	0		0		PASS
21	pop2	84285	84285	97	True	True	0	0	577917	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1224.0516357421875	0		0		PASS
21	te	84285	84285	97	True	True	0	0	1866556	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1048.4171142578125	0		0		PASS
22	pop1	82385	82385	97	True	True	0	0	575245	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	841.605712890625	0		0		PASS
22	pop2	82385	82385	97	True	True	0	0	462112	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1172.0382080078125	0		0		PASS
22	te	82385	82385	97	True	True	0	0	1804551	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	765.7955322265625	0		0		PASS
